제품명,계절,구매 년도,카테고리,구매처,브랜드여부,구매 전 착용 여부,색상,가격,유행 여부,구매 목적,최근 1년 내 착용 여부,착용 빈도,만족도,주변 평가,성공점수,색상그룹,가격_bin,가격_q_bin
배색 가디건 네이비,봄가을,2021,상의,온라인,보세,1,네이비,3,무난,일상,1,5,5,3,4.333333333,블루 계열,1-4,매우 낮은 가격
배색 가디건 하늘,봄가을,2021,상의,오프라인,보세,1,스카이블루,3,무난,일상,1,3,4,4,3.666666667,블루 계열,1-4,매우 낮은 가격
줄무늬 티셔츠,봄가을,2014,상의,오프라인,보세,0,네이비,1,무난,일상,1,4,5,4,4.333333333,블루 계열,1-4,매우 낮은 가격
파란색 크롭 셔츠,봄가을,2023,상의,온라인,SPA,0,스카이블루,4,유행,일상,1,4,4,4,4.0,블루 계열,1-4,낮은 가격
숏 트렌치 코트,봄가을,2023,겉옷,오프라인,브랜드,1,베이지,16,유행,일상,1,3,4,3,3.333333333,브라운 계열,12-16,높은 가격
부츠컷 청바지_loc,봄가을,2023,하의,오프라인,보세,1,데님,4,유행,일상,1,5,5,5,5.0,블루 계열,1-4,낮은 가격
연청 청바지,봄가을,2023,하의,오프라인,보세,1,데님,5,유행,일상,1,4,4,3,3.666666667,블루 계열,4-8,중간 가격
진청 청바지_zara,봄가을,2021,하의,오프라인,SPA,1,데님,5,무난,일상,1,5,5,5,5.0,블루 계열,4-8,중간 가격
화이트 바지,봄가을,2022,하의,온라인,보세,0,아이보리,3,무난,일상,1,3,3,4,3.333333333,화이트 계열,1-4,매우 낮은 가격
진그레이 바지,봄가을,2022,하의,온라인,보세,0,차콜,3,무난,일상,1,3,3,3,3.0,그레이 계열,1-4,매우 낮은 가격
하늘색 니트,겨울,2021,상의,오프라인,보세,0,스카이블루,3,무난,일상,1,4,4,3,3.666666667,블루 계열,1-4,매우 낮은 가격
슬랙스_미쏘,겨울,2018,하의,오프라인,SPA,1,블랙,4,무난,출근,1,3,3,3,3.0,블랙 계열,1-4,낮은 가격
와이드 슬랙스_블랙,봄가을,2020,하의,오프라인,보세,1,블랙,5,유행,일상,1,4,5,3,4.0,블랙 계열,4-8,중간 가격
정장 슬랙스_면접용,봄가을,2022,하의,오프라인,브랜드,1,블랙,9,격식,행사,1,2,5,5,4.0,블랙 계열,8-12,높은 가격
베이지색 슬랙스,겨울,2021,하의,오프라인,브랜드,1,베이지,8,격식,출근,0,1,2,3,2.0,브라운 계열,4-8,높은 가격
검정 롱치마,겨울,2021,하의,오프라인,보세,1,블랙,3,무난,출근,1,1,1,1,1.0,블랙 계열,1-4,매우 낮은 가격
검정 미니스커트,봄가을,2021,하의,오프라인,SPA,1,블랙,4,무난,일상,1,3,5,5,4.333333333,블랙 계열,1-4,낮은 가격
미디스커트_에드모어,봄가을,2021,하의,온라인,보세,0,블랙,4,유행,출근,1,1,2,3,2.0,블랙 계열,1-4,낮은 가격
회색 가디건_자라,겨울,2018,상의,오프라인,SPA,1,그레이,5,무난,일상,1,3,4,4,3.666666667,그레이 계열,4-8,중간 가격
회색 집업 가디건,겨울,2022,겉옷,오프라인,보세,1,그레이,5,유행,일상,1,5,4,4,4.333333333,그레이 계열,4-8,중간 가격
퍼플 가디건,겨울,2019,상의,오프라인,브랜드,0,퍼플,4,무난,일상,0,5,5,5,5.0,핑크 계열,1-4,낮은 가격
레터링티(하늘색),여름,2022,상의,오프라인,보세,0,화이트,2,무난,일상,1,3,3,3,3.0,화이트 계열,1-4,매우 낮은 가격
하늘색 뷔스티에 원피스,여름,2022,원피스,오프라인,보세,1,스카이블루,4,무난,여행,1,1,1,1,1.0,블루 계열,1-4,낮은 가격
꽃무늬 원피스_네이비,봄가을,2017,원피스,오프라인,보세,0,네이비,2,무난,일상,0,2,5,5,4.0,블루 계열,1-4,매우 낮은 가격
반팔 꽃무늬 원피스_앤아더,여름,2021,원피스,오프라인,SPA,1,블랙,8,무난,일상,1,3,4,5,4.0,블랙 계열,4-8,높은 가격
회색 후드집업,봄가을,2022,상의,오프라인,SPA,1,그레이,3,무난,운동,1,2,3,3,2.666666667,그레이 계열,1-4,매우 낮은 가격
회색 추리닝 바지,봄가을,2022,하의,오프라인,SPA,1,그레이,3,무난,운동,1,5,5,3,4.333333333,그레이 계열,1-4,매우 낮은 가격
진회색 후드,겨울,2019,상의,오프라인,SPA,1,차콜,4,무난,일상,1,4,4,3,3.666666667,그레이 계열,1-4,낮은 가격
해리포터 후드,겨울,2017,상의,오프라인,SPA,1,네이비,3,무난,일상,1,4,5,4,4.333333333,블루 계열,1-4,매우 낮은 가격
꽈배기 니트_흰색,겨울,2023,상의,오프라인,브랜드,0,아이보리,7,무난,일상,1,3,4,4,3.666666667,화이트 계열,4-8,높은 가격
브이넥 니트 흰색,겨울,2018,상의,오프라인,브랜드,0,아이보리,6,무난,일상,1,3,3,3,3.0,화이트 계열,4-8,높은 가격
가죽자켓,봄가을,2022,겉옷,오프라인,브랜드,1,블랙,10,무난,일상,1,3,4,5,4.0,블랙 계열,8-12,높은 가격
코듀로이 팬츠_z,겨울,2022,하의,온라인,보세,0,브라운,4,유행,일상,1,4,5,5,4.666666667,브라운 계열,1-4,낮은 가격
니트조끼_화이트,겨울,2022,상의,오프라인,보세,0,아이보리,2,무난,여행,0,1,2,3,2.0,화이트 계열,1-4,매우 낮은 가격
니트조끼_블랙,겨울,2022,상의,오프라인,보세,0,블랙,4,무난,일상,1,4,3,3,3.333333333,블랙 계열,1-4,낮은 가격
니트조끼_하트,봄가을,2021,상의,온라인,보세,0,네이비,2,유행,일상,1,2,4,4,3.333333333,블루 계열,1-4,매우 낮은 가격
하늘색 셔츠_a,봄가을,2021,상의,온라인,보세,0,스카이블루,2,무난,출근,0,3,2,4,3.0,블루 계열,1-4,매우 낮은 가격
하늘색줄무늬셔츠_로엠,여름,2021,상의,오프라인,브랜드,0,스카이블루,4,무난,출근,1,3,3,3,3.0,블루 계열,1-4,낮은 가격
초록색 니트,봄가을,2015,상의,오프라인,SPA,1,그린,3,무난,일상,1,3,5,4,4.0,그린 계열,1-4,매우 낮은 가격
네이비 배색 가디건(카라있음),봄가을,2022,겉옷,오프라인,보세,0,네이비,4,무난,일상,1,2,4,3,3.0,블루 계열,1-4,낮은 가격
연분홍 니트,겨울,2021,상의,오프라인,보세,0,핑크,2,무난,일상,1,4,4,4,4.0,핑크 계열,1-4,매우 낮은 가격
트위드 자켓,봄가을,2021,겉옷,오프라인,보세,1,화이트,6,무난,출근,1,3,3,4,3.333333333,화이트 계열,4-8,높은 가격
분홍색 셔츠,봄가을,2021,상의,온라인,보세,0,핑크,3,무난,일상,1,3,3,4,3.333333333,핑크 계열,1-4,매우 낮은 가격
청 원피스,여름,2021,원피스,오프라인,보세,1,데님,5,유행,여행,1,1,2,3,2.0,블루 계열,4-8,중간 가격
카라 블라우스,봄가을,2023,상의,온라인,SPA,1,화이트,4,무난,여행,1,3,5,5,4.333333333,화이트 계열,1-4,낮은 가격
크롭 가디건,봄가을,2023,상의,온라인,SPA,1,네이비,4,유행,일상,1,3,4,4,3.666666667,블루 계열,1-4,낮은 가격
하늘색 반팔 카라 니트,봄가을,2023,상의,오프라인,보세,1,스카이블루,5,유행,여행,1,3,4,4,3.666666667,블루 계열,4-8,중간 가격
트위드 원피스,봄가을,2021,원피스,온라인,SPA,1,블랙,4,무난,출근,1,1,2,2,1.666666667,블랙 계열,1-4,낮은 가격
핑크 원피스,봄가을,2021,원피스,오프라인,브랜드,1,핑크,17,무난,행사,0,1,3,5,3.0,핑크 계열,16-20,높은 가격
스트라이프 니트 긴팔_네이버,봄가을,2022,상의,온라인,보세,0,아이보리,2,무난,일상,1,5,3,4,4.0,화이트 계열,1-4,매우 낮은 가격
스트라이프 니트 반팔,여름,2022,상의,오프라인,보세,1,아이보리,2,무난,출근,1,5,5,5,5.0,화이트 계열,1-4,매우 낮은 가격
흰색 바람막이,봄가을,2019,겉옷,오프라인,브랜드,0,화이트,14,무난,여행,0,1,3,3,2.333333333,화이트 계열,12-16,높은 가격
아디다스 바람막이,여름,2018,겉옷,오프라인,브랜드,1,블랙,9,무난,일상,0,2,3,3,2.666666667,블랙 계열,8-12,높은 가격
맨투맨 (배색),봄가을,2022,상의,오프라인,보세,0,그레이,5,무난,일상,1,4,4,3,3.666666667,그레이 계열,4-8,중간 가격
스누피맨투맨,봄가을,2022,상의,오프라인,보세,0,그레이,1,무난,잠옷,1,4,3,3,3.333333333,그레이 계열,1-4,매우 낮은 가격
크롭 맨투맨,봄가을,2022,상의,오프라인,브랜드,0,그레이,5,유행,일상,1,3,4,3,3.333333333,그레이 계열,4-8,중간 가격
뽀글이 잠바,겨울,2022,겉옷,오프라인,브랜드,1,아이보리,12,무난,일상,1,4,4,3,3.666666667,화이트 계열,8-12,높은 가격
경량 패딩_지오다노,겨울,2021,겉옷,오프라인,SPA,1,아이보리,6,무난,출근,1,4,3,3,3.333333333,화이트 계열,4-8,높은 가격
반팔자켓_하늘색,여름,2022,상의,오프라인,보세,0,스카이블루,4,유행,출근,1,5,5,4,4.666666667,블루 계열,1-4,낮은 가격
민소매 스트라이프,여름,2022,상의,오프라인,보세,0,네이비,3,무난,여행,1,2,3,3,2.666666667,블루 계열,1-4,매우 낮은 가격
보라색 목폴라,겨울,2023,상의,오프라인,보세,0,퍼플,2,무난,일상,1,2,3,4,3.0,핑크 계열,1-4,매우 낮은 가격
블루 목폴라,겨울,2019,상의,온라인,보세,0,블루,2,무난,일상,0,4,5,5,4.666666667,블루 계열,1-4,매우 낮은 가격
화이트 목폴라,겨울,2020,상의,온라인,보세,0,화이트,1,무난,출근,1,4,3,4,3.666666667,화이트 계열,1-4,매우 낮은 가격
화이트 셔츠 오버핏,봄가을,2021,상의,오프라인,브랜드,0,화이트,6,무난,출근,1,2,3,4,3.0,화이트 계열,4-8,높은 가격
체크 니트 조끼,겨울,2021,상의,오프라인,보세,0,그레이,2,무난,출근,1,3,4,4,3.666666667,그레이 계열,1-4,매우 낮은 가격
펜타포트 티셔츠,여름,2022,상의,오프라인,보세,0,화이트,4,무난,일상,1,3,4,4,3.666666667,화이트 계열,1-4,낮은 가격
네이비 코트,겨울,2022,겉옷,오프라인,브랜드,1,네이비,20,무난,출근,1,4,5,5,4.666666667,블루 계열,16-20,높은 가격
퍼 후드 롱패딩,겨울,2020,겉옷,오프라인,브랜드,1,블랙,20,무난,생존,1,5,4,4,4.333333333,블랙 계열,16-20,높은 가격
김밥 롱패딩,겨울,2016,겉옷,오프라인,브랜드,1,블랙,15,무난,생존,0,1,3,3,2.333333333,블랙 계열,12-16,높은 가격
퍼카라 패딩,겨울,2021,겉옷,오프라인,브랜드,1,블랙,8,무난,출근,1,5,3,4,4.0,블랙 계열,4-8,높은 가격
베이지 니트,겨울,2021,상의,오프라인,보세,0,베이지,3,무난,일상,1,4,3,4,3.666666667,브라운 계열,1-4,매우 낮은 가격
화이트 크롭 니트,겨울,2022,상의,오프라인,보세,0,화이트,4,무난,일상,1,5,5,4,4.666666667,화이트 계열,1-4,낮은 가격
체크 미니스커트_z,겨울,2023,하의,온라인,보세,0,네이비,4,무난,여행,0,1,3,3,2.333333333,블루 계열,1-4,낮은 가격
핫핑크 니트_z,겨울,2023,상의,온라인,보세,0,핑크,3,유행,여행,0,1,2,2,1.666666667,핑크 계열,1-4,매우 낮은 가격
기모 데님 팬츠_z,겨울,2022,하의,온라인,보세,0,데님,4,무난,일상,1,5,5,3,4.333333333,블루 계열,1-4,낮은 가격
울 라운드 니트_z,겨울,2022,상의,온라인,보세,0,네이비,5,무난,일상,1,5,5,3,4.333333333,블루 계열,4-8,중간 가격
오프숄더 티셔츠_z,겨울,2022,상의,온라인,보세,0,블랙,2,유행,일상,0,1,1,3,1.666666667,블랙 계열,1-4,매우 낮은 가격
롱 원피스_z_리얼코코,봄가을,2022,원피스,온라인,보세,0,네이비,4,무난,일상,1,2,3,3,2.666666667,블루 계열,1-4,낮은 가격
반팔셔츠블라우스_아이보리,여름,2022,상의,온라인,보세,0,아이보리,2,무난,출근,0,1,1,3,1.666666667,화이트 계열,1-4,매우 낮은 가격
반팔셔츠블라우스_네이비,여름,2022,상의,온라인,보세,0,네이비,2,무난,출근,0,2,2,2,2.0,블루 계열,1-4,매우 낮은 가격
롱스커트_화이트_z,봄가을,2022,하의,온라인,보세,0,화이트,5,유행,여행,1,1,4,4,3.0,화이트 계열,4-8,중간 가격
라벤더 블라우스_z,봄가을,2022,상의,온라인,보세,0,화이트,4,무난,출근,1,2,3,4,3.0,화이트 계열,1-4,낮은 가격
롱스커트_아이보리_z,봄가을,2021,하의,온라인,보세,0,아이보리,3,무난,일상,0,1,1,1,1.0,화이트 계열,1-4,매우 낮은 가격
베이지셔츠_네이버,봄가을,2023,상의,온라인,보세,0,베이지,4,무난,일상,1,4,3,3,3.333333333,브라운 계열,1-4,낮은 가격
베이지 숏 코트,겨울,2021,겉옷,오프라인,브랜드,1,베이지,15,무난,출근,1,5,5,4,4.666666667,브라운 계열,12-16,높은 가격
블랙 롱코트,겨울,2018,겉옷,오프라인,보세,1,블랙,13,격식,출근,0,1,3,4,2.666666667,블랙 계열,12-16,높은 가격
진주 니트,겨울,2020,상의,오프라인,SPA,0,베이지,4,유행,일상,1,1,2,3,2.0,브라운 계열,1-4,낮은 가격
레이어드 원피스_네이비,겨울,2015,원피스,오프라인,보세,1,네이비,6,무난,일상,1,1,5,4,3.333333333,블루 계열,4-8,높은 가격
미쏘_프릴 블라우스,봄가을,2021,상의,오프라인,SPA,1,아이보리,4,격식,행사,1,1,3,5,3.0,화이트 계열,1-4,낮은 가격
기본블라우스_화이트,봄가을,2021,상의,오프라인,보세,0,화이트,3,무난,출근,1,3,5,5,4.333333333,화이트 계열,1-4,매우 낮은 가격
회색 스커트,겨울,2019,하의,온라인,보세,0,그레이,3,무난,일상,1,2,4,4,3.333333333,그레이 계열,1-4,매우 낮은 가격
줄무늬 티셔츠_기모,겨울,2016,상의,온라인,보세,0,블랙,2,무난,일상,0,3,5,4,4.0,블랙 계열,1-4,매우 낮은 가격
블랙 집업 가디건,겨울,2022,상의,오프라인,보세,0,블랙,3,무난,일상,1,4,3,3,3.333333333,블랙 계열,1-4,매우 낮은 가격
탑텐 블랙 바지,봄가을,2022,하의,오프라인,SPA,1,블랙,4,무난,운동,1,4,3,3,3.333333333,블랙 계열,1-4,낮은 가격
반팔티_레터링(검정색),여름,2022,상의,오프라인,보세,0,화이트,2,무난,일상,1,2,3,3,2.666666667,화이트 계열,1-4,매우 낮은 가격
5부 스트라이프 티셔츠,봄가을,2018,상의,오프라인,보세,0,아이보리,2,무난,일상,1,3,5,4,4.0,화이트 계열,1-4,매우 낮은 가격
겨자색 가디건,봄가을,2022,상의,오프라인,보세,0,옐로우,3,유행,일상,1,2,2,4,2.666666667,그린 계열,1-4,매우 낮은 가격
차콜색 자켓,여름,2022,겉옷,오프라인,브랜드,1,차콜,9,무난,출근,1,3,3,4,3.333333333,그레이 계열,8-12,높은 가격
베이지색 여름 자켓,여름,2019,겉옷,오프라인,브랜드,1,베이지,11,격식,출근,0,1,3,3,2.333333333,브라운 계열,8-12,높은 가격
블랙 원피스_에잇세컨즈,여름,2023,원피스,온라인,SPA,0,블랙,5,무난,여행,0,1,4,3,2.666666667,블랙 계열,4-8,중간 가격
블랙 원피스_출근용,여름,2019,원피스,오프라인,브랜드,1,블랙,10,격식,출근,1,1,5,4,3.333333333,블랙 계열,8-12,높은 가격
네이비 원피스_스파오,여름,2020,원피스,오프라인,SPA,1,네이비,4,무난,일상,0,3,4,5,4.0,블루 계열,1-4,낮은 가격
여름 니트티_트위드짜임,여름,2021,상의,오프라인,보세,0,그레이,4,무난,출근,1,3,2,4,3.0,그레이 계열,1-4,낮은 가격
여름 니트 가디건,여름,2022,상의,오프라인,보세,0,아이보리,3,무난,여행,0,1,3,3,2.333333333,화이트 계열,1-4,매우 낮은 가격
청반바지,여름,2021,하의,오프라인,SPA,1,데님,4,무난,여행,1,3,3,3,3.0,블루 계열,1-4,낮은 가격
면반바지_베이지,여름,2020,하의,오프라인,SPA,1,베이지,3,무난,일상,0,3,3,3,3.0,브라운 계열,1-4,매우 낮은 가격
배색 반팔 니트 네이비,여름,2022,상의,오프라인,SPA,0,네이비,3,무난,일상,1,5,5,4,4.666666667,블루 계열,1-4,매우 낮은 가격
토끼 티셔츠,여름,2022,상의,오프라인,SPA,0,베이지,2,무난,일상,1,3,5,4,4.0,브라운 계열,1-4,매우 낮은 가격
블라우스_KL,여름,2022,상의,오프라인,브랜드,1,베이지,7,유행,출근,1,1,3,3,2.333333333,브라운 계열,4-8,높은 가격
연보라색 셔츠,봄가을,2021,상의,오프라인,보세,0,퍼플,3,무난,출근,0,1,1,2,1.333333333,핑크 계열,1-4,매우 낮은 가격
스퀘어넥 티셔츠_화이트,여름,2022,상의,오프라인,보세,0,화이트,2,무난,일상,1,3,4,3,3.333333333,화이트 계열,1-4,매우 낮은 가격
스퀘어넥 티셔츠_블랙,여름,2022,상의,오프라인,보세,0,블랙,2,무난,일상,1,2,4,3,3.0,블랙 계열,1-4,매우 낮은 가격
반팔 뜨개 니트,여름,2022,상의,오프라인,보세,0,아이보리,3,유행,여행,1,3,5,4,4.0,화이트 계열,1-4,매우 낮은 가격
반팔 블라우스 오버핏,여름,2020,상의,오프라인,브랜드,0,화이트,5,무난,행사,1,3,5,5,4.333333333,화이트 계열,4-8,중간 가격
민트색 블라우스,여름,2021,상의,오프라인,보세,0,민트,4,유행,여행,1,3,4,4,3.666666667,그린 계열,1-4,낮은 가격
도트 반팔 원피스,여름,2019,원피스,오프라인,보세,1,블랙,6,무난,여행,1,2,4,3,3.0,블랙 계열,4-8,높은 가격
간절기 잠바,봄가을,2022,겉옷,오프라인,보세,1,옐로우,6,무난,일상,1,3,4,3,3.333333333,그린 계열,4-8,높은 가격
연두색 티셔츠,여름,2022,상의,오프라인,브랜드,0,그린,4,무난,일상,1,2,3,4,3.0,그린 계열,1-4,낮은 가격
금장 단추 반팔 블라우스,여름,2022,상의,오프라인,보세,0,화이트,4,무난,출근,1,4,4,4,4.0,화이트 계열,1-4,낮은 가격
분홍색 가디건,봄가을,2021,상의,오프라인,SPA,0,핑크,5,무난,일상,0,2,2,2,2.0,핑크 계열,4-8,중간 가격
연회색 가디건,봄가을,2022,상의,오프라인,보세,0,그레이,4,무난,일상,1,3,3,4,3.333333333,그레이 계열,1-4,낮은 가격
체크 남방_블랙 화이트,여름,2021,상의,오프라인,보세,0,블랙,3,유행,일상,0,1,2,3,2.0,블랙 계열,1-4,매우 낮은 가격
롱스커트_옐로우,봄가을,2022,하의,오프라인,SPA,1,옐로우,3,유행,일상,0,1,4,4,3.0,그린 계열,1-4,매우 낮은 가격
체크남방_옐로우,봄가을,2019,상의,오프라인,브랜드,0,옐로우,5,무난,일상,0,1,4,4,3.0,그린 계열,4-8,중간 가격
흑청자켓,봄가을,2020,겉옷,오프라인,SPA,1,차콜,8,무난,일상,0,1,2,3,2.0,그레이 계열,4-8,높은 가격
하늘색 더블 블라우스,봄가을,2021,상의,오프라인,보세,0,스카이블루,5,격식,출근,1,2,4,3,3.0,블루 계열,4-8,중간 가격
나이키 맨투맨,봄가을,2021,상의,오프라인,브랜드,1,블랙,5,무난,운동,1,3,3,3,3.0,블랙 계열,4-8,중간 가격
와이트 팬츠_그레이,여름,2021,하의,오프라인,브랜드,1,그레이,6,격식,출근,1,4,3,3,3.333333333,그레이 계열,4-8,높은 가격
줄무늬 니트_하늘색_검은색,봄가을,2022,상의,오프라인,보세,0,블랙,3,무난,일상,1,3,3,3,3.0,블랙 계열,1-4,매우 낮은 가격
크롭베이지가디건,봄가을,2021,겉옷,오프라인,SPA,1,베이지,4,무난,일상,0,1,3,3,2.333333333,브라운 계열,1-4,낮은 가격
꽃무늬블라우스_베이지,봄가을,2021,상의,오프라인,SPA,0,베이지,4,무난,출근,0,1,3,4,2.666666667,브라운 계열,1-4,낮은 가격
체크 원피스 ,겨울,2021,원피스,오프라인,브랜드,1,레드,9,무난,일상,0,1,3,4,2.666666667,핑크 계열,8-12,높은 가격
보석단추 가디건,봄가을,2018,상의,온라인,보세,0,블랙,3,무난,일상,1,4,5,5,4.666666667,블랙 계열,1-4,매우 낮은 가격
무스탕자켓,겨울,2017,겉옷,오프라인,SPA,1,블랙,12,무난,생존,0,1,4,2,2.333333333,블랙 계열,8-12,높은 가격
프릴블라우스_mixxo,봄가을,2021,상의,오프라인,SPA,0,베이지,5,유행,일상,0,1,2,1,1.333333333,브라운 계열,4-8,중간 가격
청치마,여름,2021,하의,오프라인,SPA,1,데님,5,무난,일상,0,1,2,3,2.0,블루 계열,4-8,중간 가격
자라 잠바 카키,봄가을,2021,겉옷,오프라인,SPA,1,카키,8,유행,생존,0,1,2,3,2.0,그린 계열,4-8,높은 가격
체크자켓_두툼,겨울,2021,겉옷,오프라인,브랜드,0,브라운,7,무난,출근,0,1,1,1,1.0,브라운 계열,4-8,높은 가격
분홍 후드,봄가을,2020,상의,오프라인,브랜드,0,핑크,4,무난,운동,1,3,4,4,3.666666667,핑크 계열,1-4,낮은 가격
꽃무늬 반팔 블라우스_미쏘,여름,2018,상의,오프라인,SPA,1,아이보리,3,무난,출근,1,3,5,4,4.0,화이트 계열,1-4,매우 낮은 가격
분홍 반팔 블라우스,여름,2019,상의,오프라인,SPA,1,핑크,4,무난,여행,0,1,5,3,3.0,핑크 계열,1-4,낮은 가격
블루 반팔티셔츠,여름,2018,상의,온라인,보세,0,블루,2,무난,일상,0,2,4,4,3.333333333,블루 계열,1-4,매우 낮은 가격
여름 베이지 셔츠,여름,2020,상의,온라인,보세,0,베이지,3,무난,일상,0,1,3,3,2.333333333,브라운 계열,1-4,매우 낮은 가격
에스닉 패턴 스커트,여름,2019,하의,오프라인,보세,0,그린,2,유행,여행,0,1,3,3,2.333333333,그린 계열,1-4,매우 낮은 가격
블랙 자켓,봄가을,2018,겉옷,오프라인,브랜드,1,블랙,14,격식,출근,0,1,3,3,2.333333333,블랙 계열,12-16,높은 가격
여름 블랙 팬츠_에이블리,여름,2021,하의,온라인,보세,0,블랙,2,무난,출근,1,4,4,4,4.0,블랙 계열,1-4,매우 낮은 가격
잔스트라이프 셔츠,봄가을,2019,상의,오프라인,브랜드,0,브라운,8,무난,출근,1,4,5,5,4.666666667,브라운 계열,4-8,높은 가격
브라운 뷔스티에 원피스,봄가을,2020,원피스,오프라인,보세,1,브라운,5,유행,일상,0,1,1,1,1.0,브라운 계열,4-8,중간 가격
여름 연청바지,여름,2019,하의,온라인,보세,0,데님,3,무난,일상,0,1,3,3,2.333333333,블루 계열,1-4,매우 낮은 가격
금장단추 브라운 가디건,겨울,2021,겉옷,오프라인,브랜드,0,브라운,5,무난,출근,0,1,2,3,2.0,브라운 계열,4-8,중간 가격
